"","concept_id","ingredient_name","cohort_name","atc"
"63",19072054,"methampicillin","J01CA14_metampicillin_systemic","J01CA14"
"64",19086759,"cephalothin","J01DB03_cefalotin_parenteral","J01DB03"
"65",19086790,"cephapirin","J01DB08_cefapirin_parenteral","J01DB08"
"66",19088223,"amdinocillin pivoxil","J01CA08_pivmecillinam_oral","J01CA08"
"67",19096054,"propicillin","J01CE03_propicillin_oral","J01CE03"
"68",19123877,"amdinocillin","J01CA11_mecillinam_parenteral","J01CA11"
"69",19136423,"sulfalene","J01ED02_sulfalene_oral","J01ED02"
"70",19136426,"sulfamerazine","J01ED07_sulfamerazine_oral","J01ED07"
"71",19136426,"sulfamerazine","J01EE07_sulfamerazine_and_trimethoprim_systemic","J01EE07"
"72",19136429,"sulfamethazine","J01EB03_sulfadimidine_oral","J01EB03"
"73",19136429,"sulfamethazine","J01EE05_sulfadimidine_and_trimethoprim_systemic","J01EE05"
"74",19136481,"sulfamoxole","J01EE04_sulfamoxole_and_trimethoprim_systemic","J01EE04"
"75",19136481,"sulfamoxole","J01EC03_sulfamoxole_systemic","J01EC03"
"76",19136493,"sulfapyridine","J01EB04_sulfapyridine_oral","J01EB04"
"77",19137362,"thiamphenicol","J01BA02_thiamphenicol_systemic","J01BA02"
"78",40798700,"cefazedone","J01DB06_cefazedone_parenteral","J01DB06"
"79",40798709,"cefacetrile","J01DB10_cefacetrile_systemic","J01DB10"
"80",40798981,"nifurtoinol","J01XE02_nifurtoinol_oral","J01XE02"
"81",40799118,"sulfametoxydiazine","J01ED04_sulfametoxydiazine_oral","J01ED04"
"82",40799120,"sulfaperin","J01ED06_sulfaperin_oral","J01ED06"
"83",40799121,"sulfaphenazole","J01ED08_sulfaphenazole_oral","J01ED08"
"84",43008994,"ceftezole sodium","J01DB12_ceftezole_parenteral","J01DB12"
"85",43009009,"sultamicillin","J01CR04_sultamicillin_oral","J01CR04"
"86",43009083,"cefroxadine","J01DB11_cefroxadine_systemic","J01DB11"
"87",45892419,"gentamicin","J01GB03_gentamicin_parenteral","J01GB03"
"88",36854873,"sulfametomidine","J01ED03_sulfametomidine_systemic","J01ED03"
"89",36851057,"epicillin","J01CA07_epicillin_systemic","J01CA07"
"90",36863501,"clometocillin","J01CE07_clometocillin_oral","J01CE07"
"91",36856579,"sulfamazone","J01ED09_sulfamazone_oral_rectal","J01ED09"
"92",36857825,"penamecillin","J01CE06_penamecillin_oral","J01CE06"
