"","indication_category","concept_id","concept_code","concept_name","domain_id","vocabulary_id"
"29","Upper respiratory tract infection",4051239,"16036000","Acute empyema of frontal sinus","Condition","SNOMED"
"30","Upper respiratory tract infection",4051481,"232367004","Nasal syphilis","Condition","SNOMED"
"31","Upper respiratory tract infection",4051491,"232402006","Meningococcal pharyngitis","Condition","SNOMED"
"32","Upper respiratory tract infection",4080886,"276700005","Congenital syphilitic rhinitis","Condition","SNOMED"
"33","Upper respiratory tract infection",4093433,"25831001","Tuberculosis of nasal septum","Condition","SNOMED"
"34","Upper respiratory tract infection",4099298,"27278006","Acute empyema of sphenoidal sinus","Condition","SNOMED"
"35","Upper respiratory tract infection",4101263,"27878001","Follicular tonsillitis","Condition","SNOMED"
"36","Upper respiratory tract infection",4109894,"195660001","Acute staphylococcal pharyngitis","Condition","SNOMED"
"37","Upper respiratory tract infection",4109896,"195668008","Acute ulcerative tonsillitis","Condition","SNOMED"
"38","Upper respiratory tract infection",4109897,"195669000","Acute catarrhal tonsillitis","Condition","SNOMED"
"39","Upper respiratory tract infection",4109898,"195670004","Acute gangrenous tonsillitis","Condition","SNOMED"
"40","Upper respiratory tract infection",4109899,"195686006","Acute suppurative laryngitis","Condition","SNOMED"
"41","Upper respiratory tract infection",4110027,"195770009","Chronic infective rhinitis","Condition","SNOMED"
"42","Upper respiratory tract infection",4110359,"195667003","Acute follicular tonsillitis","Condition","SNOMED"
"43","Upper respiratory tract infection",4110360,"195672007","Acute pneumococcal tonsillitis","Condition","SNOMED"
"44","Upper respiratory tract infection",4110362,"195677001","Recurrent acute tonsillitis","Condition","SNOMED"
"45","Upper respiratory tract infection",4110475,"195684009","Acute haemophilus influenzae laryngitis","Condition","SNOMED"
"46","Upper respiratory tract infection",4110479,"195708003","Recurrent upper respiratory tract infection","Condition","SNOMED"
"47","Upper respiratory tract infection",4112006,"195658003","Acute bacterial pharyngitis","Condition","SNOMED"
"48","Upper respiratory tract infection",4112007,"195659006","Acute pneumococcal pharyngitis","Condition","SNOMED"
"49","Upper respiratory tract infection",4112009,"195666007","Acute erythematous tonsillitis","Condition","SNOMED"
"50","Upper respiratory tract infection",4112011,"195685005","Acute pneumococcal laryngitis","Condition","SNOMED"
"51","Upper respiratory tract infection",4112345,"195671000","Acute bacterial tonsillitis","Condition","SNOMED"
"52","Upper respiratory tract infection",4112346,"195673002","Acute staphylococcal tonsillitis","Condition","SNOMED"
"53","Upper respiratory tract infection",4112504,"195803003","Caseous tonsillitis","Condition","SNOMED"
"54","Upper respiratory tract infection",4136096,"32179007","Furuncle of nasal septum","Condition","SNOMED"
"55","Upper respiratory tract infection",4139430,"32904004","Pneumococcal laryngitis","Condition","SNOMED"
"56","Upper respiratory tract infection",4149333,"35168006","Acute empyema of ethmoidal sinus","Condition","SNOMED"
"57","Upper respiratory tract infection",4164792,"41048006","Haemophilus influenzae laryngitis","Condition","SNOMED"
"58","Upper respiratory tract infection",4167920,"275376007","Congenital syphilitic chronic coryza","Condition","SNOMED"
"59","Upper respiratory tract infection",4171577,"4225003","Tuberculosis of nose","Condition","SNOMED"
"60","Upper respiratory tract infection",4181583,"54150009","Upper respiratory infection","Condition","SNOMED"
"61","Upper respiratory tract infection",4185761,"414304001","Furuncle of nasal cavity","Condition","SNOMED"
"62","Upper respiratory tract infection",4193318,"312422001","Infective pharyngitis","Condition","SNOMED"
"63","Upper respiratory tract infection",4200072,"51960003","Secondary syphilis of pharynx","Condition","SNOMED"
"64","Upper respiratory tract infection",4203768,"52721006","Tuberculosis of nasal sinus","Condition","SNOMED"
"65","Upper respiratory tract infection",4207185,"312118003","Bacterial upper respiratory infection","Condition","SNOMED"
"66","Upper respiratory tract infection",4207471,"312423006","Infective laryngitis","Condition","SNOMED"
"67","Upper respiratory tract infection",4207953,"55419007","Tuberculosis of glottis","Condition","SNOMED"
"68","Upper respiratory tract infection",4209565,"56498009","Tuberculosis of nasopharynx","Condition","SNOMED"
"69","Upper respiratory tract infection",4212727,"41582007","Streptococcal tonsillitis","Condition","SNOMED"
"70","Upper respiratory tract infection",4218560,"81339006","Secondary syphilis of tonsil","Condition","SNOMED"
"71","Upper respiratory tract infection",4218659,"415724006","Tonsillitis due to Gram negative bacteria","Condition","SNOMED"
"72","Upper respiratory tract infection",4219067,"82454002","Carbuncle of nasal septum","Condition","SNOMED"
"73","Upper respiratory tract infection",4220386,"82690000","Suppurative laryngitis","Condition","SNOMED"
"74","Upper respiratory tract infection",4225421,"85083002","Streptococcal laryngitis","Condition","SNOMED"
"75","Upper respiratory tract infection",4234533,"90176007","Tonsillitis","Condition","SNOMED"
"76","Upper respiratory tract infection",4240333,"58763001","Acute empyema of nasal sinus","Condition","SNOMED"
"77","Upper respiratory tract infection",4240728,"58031004","Suppurative pharyngitis","Condition","SNOMED"
"78","Upper respiratory tract infection",4242412,"58576005","Haemophilus influenzae epiglottitis","Condition","SNOMED"
"79","Upper respiratory tract infection",4245453,"9312005","Necrotic rhinitis","Condition","SNOMED"
"80","Upper respiratory tract infection",4249017,"73414003","Haemophilus influenzae laryngotracheobronchitis","Condition","SNOMED"
"81","Upper respiratory tract infection",4275115,"652005","Gangrenous tonsillitis","Condition","SNOMED"
"82","Upper respiratory tract infection",4294548,"75498004","Acute bacterial sinusitis","Condition","SNOMED"
"83","Upper respiratory tract infection",4296469,"76653009","Acute empyema of maxillary sinus","Condition","SNOMED"
"84","Upper respiratory tract infection",4297292,"76651006","Pneumococcal pharyngitis","Condition","SNOMED"
"85","Upper respiratory tract infection",4305659,"82228008","Staphylococcal pharyngitis","Condition","SNOMED"
"86","Upper respiratory tract infection",4309214,"8442000","Purulent rhinitis","Condition","SNOMED"
"87","Upper respiratory tract infection",4312636,"424327005","Tonsillar actinomycosis","Condition","SNOMED"
"88","Upper respiratory tract infection",4318117,"95885008","Mycoplasmal pharyngitis","Condition","SNOMED"
"89","Upper respiratory tract infection",4345712,"240444009","Fusobacterial necrotizing tonsillitis","Condition","SNOMED"
"90","Upper respiratory tract infection",36715947,"721741006","Sinusitis caused by Streptococcus pneumoniae","Condition","SNOMED"
"91","Upper respiratory tract infection",36715959,"721755003","Sinusitis caused by Haemophilus influenzae","Condition","SNOMED"
"92","Upper respiratory tract infection",40480687,"444745000","Infection of mucous cyst of nasal sinus","Condition","SNOMED"
"93","Upper respiratory tract infection",40482414,"445130008","Acute infective adenoiditis","Condition","SNOMED"
"94","Upper respiratory tract infection",40488377,"446594000","Infection of pharynx due to Chlamydia trachomatis","Condition","SNOMED"
"95","Upper respiratory tract infection",40489337,"446753005","Tuberculosis of oropharynx","Condition","SNOMED"
"96","Upper respiratory tract infection",42534820,"10629231000119109","Recurrent acute streptococcal tonsillitis","Condition","SNOMED"
"97","Upper respiratory tract infection",44808497,"849571000000102","Acute bacterial laryngitis","Condition","SNOMED"
"98","Upper respiratory tract infection",45757261,"1090211000119102","Pharyngeal diphtheria","Condition","SNOMED"
"99","Upper respiratory tract infection",45766331,"703468005","Bacterial tonsillitis","Condition","SNOMED"
"100","Upper respiratory tract infection",45766333,"703470001","Bacterial sinusitis","Condition","SNOMED"
"101","Ear infection",76992,"24817009","Suppurative labyrinthitis","Condition","SNOMED"
"102","Ear infection",260730,"41954005","Chronic atticoantral suppurative otitis media","Condition","SNOMED"
"103","Ear infection",374947,"56663002","Acute infection of pinna","Condition","SNOMED"
"104","Ear infection",375290,"87665008","Chronic tubotympanic suppurative otitis media","Condition","SNOMED"
"105","Ear infection",376712,"39288006","Purulent otitis media","Condition","SNOMED"
"106","Ear infection",377298,"53295002","Chronic otitis externa","Condition","SNOMED"
"107","Ear infection",377886,"38394007","Chronic purulent otitis media","Condition","SNOMED"
"108","Ear infection",378953,"186269001","Tuberculosis of ear","Condition","SNOMED"
"109","Ear infection",380407,"232224009","Chronic infective otitis externa","Condition","SNOMED"
"110","Ear infection",380415,"30250000","Acute otitis externa","Condition","SNOMED"
"111","Ear infection",380731,"3135009","Otitis externa","Condition","SNOMED"
"112","Ear infection",381859,"86981007","Infective otitis externa","Condition","SNOMED"
"113","Ear infection",437881,"94146005","Malignant otitis externa","Condition","SNOMED"
"114","Ear infection",600587,"1083471000119102","Bilateral diffuse otitis externa","Condition","SNOMED"
"115","Ear infection",602175,"1088081000119101","Left acute non-infective otitis externa","Condition","SNOMED"
"116","Ear infection",602177,"1088401000119103","Chronic atticoantral suppurative otitis media of left middle ear","Condition","SNOMED"
"117","Ear infection",602181,"1088581000119105","Chronic tubotympanic suppurative otitis media of left middle ear","Condition","SNOMED"
"118","Ear infection",602183,"1088621000119105","Left diffuse otitis externa","Condition","SNOMED"
"119","Ear infection",602184,"1088901000119105","Hemorrhagic otitis externa of left external auditory canal","Condition","SNOMED"
"120","Ear infection",602189,"1090701000119108","Right acute non-infective otitis externa","Condition","SNOMED"
"121","Ear infection",602190,"1091011000119101","Chronic atticoantral suppurative otitis media of right middle ear","Condition","SNOMED"
"122","Ear infection",602700,"1082971000119103","Bilateral acute non-infective otitis externa","Condition","SNOMED"
"123","Ear infection",602715,"1091191000119106","Chronic tubotympanic suppurative otitis media of right middle ear","Condition","SNOMED"
"124","Ear infection",602717,"1091231000119102","Right diffuse otitis externa","Condition","SNOMED"
"125","Ear infection",602718,"1091511000119109","Hemorrhagic otitis externa of right external auditory canal","Condition","SNOMED"
"126","Ear infection",605484,"1083021000119105","Bilateral acute infection of pinna","Condition","SNOMED"
"127","Ear infection",608985,"15984271000119108","Bilateral tuberculosis of ears","Condition","SNOMED"
"128","Ear infection",619670,"897300000","Superficial foreign body of ear with infection","Condition","SNOMED"
"129","Ear infection",760032,"1082991000119102","Acute otitis externa of bilateral ears","Condition","SNOMED"
"130","Ear infection",760054,"1083301000119104","Chronic infective otitis externa of bilateral external auditory canals","Condition","SNOMED"
"131","Ear infection",760080,"1083551000119107","Infection of bilateral ears","Condition","SNOMED"
"132","Ear infection",760111,"1083871000119100","Infective otitis externa of bilateral ears","Condition","SNOMED"
"133","Ear infection",760118,"1084261000119109","Otitis externa of bilateral ears","Condition","SNOMED"
"134","Ear infection",760124,"1084441000119106","Stenosis of bilateral external ear canals due to and following inflammation","Condition","SNOMED"
"135","Ear infection",760141,"1088101000119108","Acute otitis externa of left ear","Condition","SNOMED"
"136","Ear infection",760148,"1088431000119105","Chronic infective otitis externa of left external auditory canal","Condition","SNOMED"
"137","Ear infection",760155,"1088951000119109","Infective otitis externa of left ear","Condition","SNOMED"
"138","Ear infection",760160,"1089331000119109","Otitis externa of left ear","Condition","SNOMED"
"139","Ear infection",760166,"1089511000119109","Stenosis of left external ear canal due to and following inflammation","Condition","SNOMED"
"140","Ear infection",760169,"1089661000119108","Suppurative otitis media of left ear","Condition","SNOMED"
"141","Ear infection",760179,"1090721000119104","Acute otitis externa of right ear","Condition","SNOMED"
"142","Ear infection",760188,"1091041000119102","Chronic infective otitis externa of right external auditory canal","Condition","SNOMED"
"143","Ear infection",760196,"1091561000119107","Infective otitis externa of right ear","Condition","SNOMED"
"144","Ear infection",760202,"1091941000119101","Otitis externa of right ear","Condition","SNOMED"
"145","Ear infection",760209,"1092121000119101","Stenosis of right external ear canal due to and following inflammation","Condition","SNOMED"
"146","Ear infection",764121,"451021000124105","Infection of left ear","Condition","SNOMED"
"147","Ear infection",764992,"1091291000119103","Infection of right ear","Condition","SNOMED"
"148","Ear infection",764995,"1092271000119106","Suppurative otitis media of right ear","Condition","SNOMED"
"149","Ear infection",3662173,"11843951000119105","Infected abrasion of skin of right ear","Condition","SNOMED"
"150","Ear infection",3662174,"11843991000119100","Infected abrasion of skin of left ear","Condition","SNOMED"
"151","Ear infection",4042562,"16664009","Malignant otitis media","Condition","SNOMED"
"152","Ear infection",4044878,"129127001","Infection of ear","Condition","SNOMED"
"153","Ear infection",4065912,"17198008","Nonvenomous insect bite of ear with infection","Condition","SNOMED"
"154","Ear infection",4070156,"21543000","Acute actinic otitis externa","Condition","SNOMED"
"155","Ear infection",4077428,"18953001","Acute contact otitis externa","Condition","SNOMED"
"156","Ear infection",4077608,"19021002","Haemophilus influenzae otitis media","Condition","SNOMED"
"157","Ear infection",4087572,"24457001","Superficial injury of ear with infection","Condition","SNOMED"
"158","Ear infection",4104061,"194217007","Acute radiation otitis externa","Condition","SNOMED"
"159","Ear infection",4104689,"194202008","Infective otitis externa due to erysipelas","Condition","SNOMED"
"160","Ear infection",4108522,"194286008","Bilateral suppurative otitis media","Condition","SNOMED"
"161","Ear infection",4110668,"194203003","Infective otitis externa due to impetigo","Condition","SNOMED"
"162","Ear infection",4111105,"194204009","Furunculosis of external auditory meatus","Condition","SNOMED"
"163","Ear infection",4143024,"34723002","Diffuse otitis externa","Condition","SNOMED"
"164","Ear infection",4143460,"33934002","Hemorrhagic otitis externa","Condition","SNOMED"
"165","Ear infection",4144755,"427348001","Chronic eczema of external auditory canal","Condition","SNOMED"
"166","Ear infection",4146287,"427404005","Dermatitis of external auditory canal","Condition","SNOMED"
"167","Ear infection",4147135,"34790005","Chronic tubotympanic disease with anterior perforation of ear drum","Condition","SNOMED"
"168","Ear infection",4147631,"267665002","Acute infective otitis externa","Condition","SNOMED"
"169","Ear infection",4165045,"45666009","Blister of ear with infection","Condition","SNOMED"
"170","Ear infection",4171538,"419121001","Allergic contact dermatitis of pinna","Condition","SNOMED"
"171","Ear infection",4182370,"54272002","Acute eczematoid otitis externa","Condition","SNOMED"
"172","Ear infection",4195416,"79150005","Acute chemical otitis externa","Condition","SNOMED"
"173","Ear infection",4198027,"79972006","Circumscribed otitis externa","Condition","SNOMED"
"174","Ear infection",4208784,"312218008","Infective otitis media","Condition","SNOMED"
"175","Ear infection",4233622,"405821001","Allergic otitis externa","Condition","SNOMED"
"176","Ear infection",4263428,"61383005","Abrasion and/or friction burn of ear with infection","Condition","SNOMED"
"177","Ear infection",4270206,"63767001","Carbuncle of ear","Condition","SNOMED"
"178","Ear infection",4270724,"402208007","Chronic seborrheic otitis externa","Condition","SNOMED"
"179","Ear infection",4290742,"402207002","Acute seborrheic otitis externa","Condition","SNOMED"
"180","Ear infection",4298713,"402697000","Infection of external ear","Condition","SNOMED"
"181","Ear infection",4300222,"402934006","Streptococcal cellulitis of external ear","Condition","SNOMED"
"182","Ear infection",4303538,"419957005","Allergic contact dermatitis of external auditory canal","Condition","SNOMED"
"183","Ear infection",4311948,"85940005","Tuberculous otitis media","Condition","SNOMED"
"184","Ear infection",4317993,"95810005","Infection of external auditory canal","Condition","SNOMED"
"185","Ear infection",4318709,"95808008","Infection of ear lobe","Condition","SNOMED"
"186","Ear infection",4319015,"95804005","Purulent drainage from external ear canal","Condition","SNOMED"
"187","Ear infection",4319156,"95882006","Bacterial ear infection","Condition","SNOMED"
"188","Ear infection",4320811,"95812002","Eczema of external auditory canal","Condition","SNOMED"
"189","Ear infection",4323822,"71591001","Furuncle of ear","Condition","SNOMED"
"190","Ear infection",4334410,"232225005","Chronic bacterial otitis externa","Condition","SNOMED"
"191","Ear infection",4334412,"232236003","Chronic non-infective otitis externa","Condition","SNOMED"
"192","Ear infection",4335332,"232241006","Chronic traumatic otitis externa","Condition","SNOMED"
"193","Ear infection",4335452,"232310008","Infection involving inner ear","Condition","SNOMED"
"194","Ear infection",4335454,"232313005","Endocochlear syphilis","Condition","SNOMED"
"195","Ear infection",4335731,"232230009","Malignant otitis externa due to Pseudomonas aeruginosa","Condition","SNOMED"
"196","Ear infection",4335733,"232239005","Chronic irritant otitis externa","Condition","SNOMED"
"197","Ear infection",4335734,"232240007","Chronic allergic otitis externa","Condition","SNOMED"
"198","Ear infection",4335735,"232243009","Seborrheic otitis externa","Condition","SNOMED"
"199","Ear infection",4336156,"232231008","Non-infective otitis externa","Condition","SNOMED"
"200","Ear infection",4336157,"232232001","Acute non-infective otitis externa","Condition","SNOMED"
"201","Ear infection",4336158,"232233006","Acute irritant otitis externa","Condition","SNOMED"
"202","Ear infection",4336159,"232235004","Acute traumatic otitis externa","Condition","SNOMED"
"203","Ear infection",4336160,"232237007","Chronic radiation otitis externa","Condition","SNOMED"
"204","Ear infection",4339470,"232229004","Granulomatous otitis externa","Condition","SNOMED"
"205","Ear infection",4339471,"232234000","Acute allergic otitis externa","Condition","SNOMED"
"206","Ear infection",4339485,"232314004","Lyme disease of inner ear","Condition","SNOMED"
"207","Ear infection",36676785,"773951007","Necrotizing otitis externa of right external auditory canal","Condition","SNOMED"
"208","Ear infection",36676789,"773955003","Necrotizing otitis externa of left external auditory canal","Condition","SNOMED"
"209","Ear infection",36685080,"1083361000119103","Bilateral auditory canal chronic non-infective otitis externa","Condition","SNOMED"
"210","Ear infection",36685081,"1083381000119107","Bilateral external auditory canal chronic otitis externa","Condition","SNOMED"
"211","Ear infection",36685083,"1083431000119100","Bilateral chronic suppurative otitis media of middle ears","Condition","SNOMED"
"212","Ear infection",36685085,"1083521000119104","Bilateral dermatitis of external ear canals","Condition","SNOMED"
"213","Ear infection",36685099,"1083961000119104","Malignant otitis externa of bilateral external auditory canals","Condition","SNOMED"
"214","Ear infection",36685132,"1088141000119105","Acute infection of pinna of left ear","Condition","SNOMED"
"215","Ear infection",36685144,"1088491000119109","Chronic non-infective otitis externa of left external auditory canal","Condition","SNOMED"
"216","Ear infection",36685145,"1088511000119104","Chronic otitis externa of left external auditory canal","Condition","SNOMED"
"217","Ear infection",36685147,"1088571000119107","Chronic suppurative otitis media of left middle ear","Condition","SNOMED"
"218","Ear infection",36685151,"1088651000119102","Dermatitis of left external ear canal","Condition","SNOMED"
"219","Ear infection",36685167,"1089021000119108","Malignant otitis externa of left external auditory canal","Condition","SNOMED"
"220","Ear infection",36685202,"1090751000119107","Acute infection of pinna of right ear","Condition","SNOMED"
"221","Ear infection",36685215,"1091101000119100","Chronic non-infective otitis externa of right external auditory canal","Condition","SNOMED"
"222","Ear infection",36685216,"1091121000119109","Chronic otitis externa of right external auditory canal","Condition","SNOMED"
"223","Ear infection",36685218,"1091181000119108","Chronic suppurative otitis media of right middle ear","Condition","SNOMED"
"224","Ear infection",36685222,"1091261000119105","Dermatitis of right external ear canal","Condition","SNOMED"
"225","Ear infection",36685238,"1091631000119100","Malignant otitis externa of right external auditory canal","Condition","SNOMED"
"226","Ear infection",36715948,"721742004","Otitis media caused by Streptococcus pneumoniae","Condition","SNOMED"
"227","Ear infection",37119144,"724635009","Contact dermatitis of external ear","Condition","SNOMED"
"228","Ear infection",37311927,"788971005","Irritant contact dermatitis of external ear","Condition","SNOMED"
"229","Ear infection",37312580,"789057009","Tuberculosis of middle ear","Condition","SNOMED"
"230","Ear infection",37312581,"789056000","Tuberculosis of inner ear","Condition","SNOMED"
"231","Ear infection",37395580,"280221000009107","Bacterial otitis externa","Condition","SNOMED"
"232","Ear infection",45763725,"700220003","Acute bacterial otitis externa","Condition","SNOMED"
"233","Ear infection",45766332,"703469002","Bacterial otitis media","Condition","SNOMED"
"234","Eye infection",320317,"73363000","Oculoglandular tularemia","Condition","SNOMED"
"235","Eye infection",372550,"231861005","Chlamydial conjunctivitis","Condition","SNOMED"
"236","Eye infection",372842,"28438004","Gonococcal conjunctivitis neonatorum","Condition","SNOMED"
"237","Eye infection",373870,"206345004","Neonatal dacryocystitis and conjunctivitis","Condition","SNOMED"
"238","Eye infection",374270,"49107007","Tuberculosis of eye","Condition","SNOMED"
"239","Eye infection",374283,"35876006","Gonococcal infection of eye","Condition","SNOMED"
"240","Eye infection",375184,"29976007","Trachoma, initial stage","Condition","SNOMED"
"241","Eye infection",375736,"52812002","Trachoma, active stage","Condition","SNOMED"
"242","Eye infection",376422,"243462001","Mucopurulent conjunctivitis","Condition","SNOMED"
"243","Eye infection",380640,"2576002","Trachoma","Condition","SNOMED"
"244","Eye infection",432621,"41720003","Purulent endophthalmitis","Condition","SNOMED"
"245","Eye infection",434274,"66281009","Secondary syphilitic chorioretinitis","Condition","SNOMED"
"246","Eye infection",438348,"44568006","Syphilitic interstitial keratitis","Condition","SNOMED"
"247","Eye infection",438971,"77939001","Syphilitic disseminated retinochoroiditis","Condition","SNOMED"
"248","Eye infection",439671,"186854007","Uveitis due to secondary syphilis","Condition","SNOMED"
"249","Eye infection",439731,"30080002","Secondary syphilitic iridocyclitis","Condition","SNOMED"
"250","Eye infection",440716,"89114005","Infectious secondary iridocyclitis","Condition","SNOMED"
"251","Eye infection",442552,"7773002","Conjunctival diphtheria","Condition","SNOMED"
"252","Eye infection",444059,"40149008","Gonococcal keratitis","Condition","SNOMED"
"253","Eye infection",444087,"11338007","Syphilitic episcleritis","Condition","SNOMED"
"254","Eye infection",444227,"111807001","Gonococcal endophthalmia","Condition","SNOMED"
"255","Eye infection",444446,"9091006","Gonococcal iridocyclitis","Condition","SNOMED"
"256","Eye infection",605342,"1052322008","Secondary syphilis of eye","Condition","SNOMED"
"257","Eye infection",608803,"15680081000119109","Bilateral chlamydial conjunctivitis","Condition","SNOMED"
"258","Eye infection",608986,"15991471000119106","Left chorioretinitis caused by Mycobacterium tuberculosis","Condition","SNOMED"
"259","Eye infection",608987,"15991511000119102","Right chorioretinitis caused by Mycobacterium tuberculosis","Condition","SNOMED"
"260","Eye infection",619069,"890114008","Iris papulosa caused by Treponema pallidum","Condition","SNOMED"
"261","Eye infection",619070,"890115009","Iris roseola caused by Treponema pallidum","Condition","SNOMED"
"262","Eye infection",761311,"15677681000119107","Chorioretinitis of left eye caused by Toxoplasma gondii","Condition","SNOMED"
"263","Eye infection",761312,"15677721000119101","Chorioretinitis of bilateral eyes caused by Toxoplasma gondii","Condition","SNOMED"
"264","Eye infection",761313,"15677761000119106","Chorioretinitis of right eye caused by Toxoplasma gondii","Condition","SNOMED"
"265","Eye infection",761331,"15680561000119109","Conjunctivitis of right eye caused by bacteria","Condition","SNOMED"
"266","Eye infection",761332,"15680601000119109","Conjunctivitis of left eye caused by bacteria","Condition","SNOMED"
"267","Eye infection",761333,"15680641000119106","Conjunctivitis of bilateral eyes caused by bacteria","Condition","SNOMED"
"268","Eye infection",761604,"15738601000119107","Infection of bilateral eyes","Condition","SNOMED"
"269","Eye infection",761605,"15738641000119109","Infection of left eye","Condition","SNOMED"
"270","Eye infection",761606,"15738681000119104","Infection of right eye","Condition","SNOMED"
"271","Eye infection",762971,"434391000124109","Secondary infective uveitis","Condition","SNOMED"
"272","Eye infection",764828,"679331000119108","Mucopurulent conjunctivitis of left eye","Condition","SNOMED"
"273","Eye infection",765217,"15680161000119101","Conjunctivitis of left eye caused by Chlamydia trachomatis","Condition","SNOMED"
"274","Eye infection",765528,"679321000119105","Mucopurulent conjunctivitis of bilateral eyes","Condition","SNOMED"
"275","Eye infection",765739,"679341000119104","Mucopurulent conjunctivitis of right eye","Condition","SNOMED"
"276","Eye infection",3655351,"860894002","Episcleritis due to late syphilis","Condition","SNOMED"
"277","Eye infection",3655660,"866133000","Infectious neuroretinitis","Condition","SNOMED"
"278","Eye infection",3655662,"866135007","Infectious corneal infiltrates caused by contact lens","Condition","SNOMED"
"279","Eye infection",3655813,"870273007","Posterior uveitis due to late syphilis","Condition","SNOMED"
"280","Eye infection",3655854,"870331001","Panuveitis caused by Treponema pallidum","Condition","SNOMED"
"281","Eye infection",3655856,"870333003","Panuveitis caused by Mycobacterium tuberculosis","Condition","SNOMED"
"282","Eye infection",3655858,"870335005","Panuveitis caused by Borrelia burgdorferi","Condition","SNOMED"
"283","Eye infection",3657778,"15693561000119104","Keratitis of right eye caused by bacteria","Condition","SNOMED"
"284","Eye infection",3657843,"15993391000119102","Bilateral retinitis of eyes caused by secondary syphilis","Condition","SNOMED"
"285","Eye infection",3662318,"15677801000119103","Chorioretinitis of right eye caused by secondary syphilis","Condition","SNOMED"
"286","Eye infection",3662319,"15677841000119101","Bilateral chorioretinitis of eyes caused by secondary syphilis","Condition","SNOMED"
"287","Eye infection",3662320,"15677881000119106","Chorioretinitis of left eye caused by secondary syphilis","Condition","SNOMED"
"288","Eye infection",3662323,"15679481000119104","Iritis of right eye caused by Treponema pallidum","Condition","SNOMED"
"289","Eye infection",3662324,"15679561000119109","Iritis of left eye caused by Treponema pallidum","Condition","SNOMED"
"290","Eye infection",3662325,"15679681000119101","Bilateral iritis of eyes caused by Treponema pallidum","Condition","SNOMED"
"291","Eye infection",3662329,"15685441000119102","Bilateral retinitis of eyes caused by Treponema pallidum","Condition","SNOMED"
"292","Eye infection",3662334,"15693601000119104","Keratitis of left eye caused by bacteria","Condition","SNOMED"
"293","Eye infection",3662335,"15693641000119102","Bilateral keratitis of eyes caused by bacteria","Condition","SNOMED"
"294","Eye infection",4009923,"111825008","Tuberculosis of conjunctiva","Condition","SNOMED"
"295","Eye infection",4028254,"128350005","Bacterial conjunctivitis","Condition","SNOMED"
"296","Eye infection",4029812,"128984004","Bacterial infection of eye","Condition","SNOMED"
"297","Eye infection",4084947,"240591000","Neonatal chlamydial conjunctivitis","Condition","SNOMED"
"298","Eye infection",4087293,"186263000","Tuberculous chorioretinitis","Condition","SNOMED"
"299","Eye infection",4087751,"186842007","Late congenital syphilitic oculopathy","Condition","SNOMED"
