"incidence_start_date","outcome_count","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","outcome_cohort_name","cdm_name","denominator_sex","denominator_age_group","age_standard","n","d","c_rate","c_lower","c_upper","s_rate","s_lower","s_upper","denominator_cohort_name"
"2014-01-01",1,34794.396,2.874,0.0727640393133707,16.0130481671212,"j01xx01_fosfomycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-01",1,31219.953,3.203,0.0810949586768752,17.8464182535409,"j01xx01_fosfomycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01",2,27006.45,7.406,0.896857152805959,26.7517117863472,"j01xx01_fosfomycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-01",5,24656.583,20.279,6.58439326373172,47.3233946460573,"j01xx01_fosfomycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-01-01",19,23401.922,81.19,48.8816310231558,126.788105573489,"j01xx01_fosfomycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-01",32,22483.819,142.325,97.3499044414321,200.919835190901,"j01xx01_fosfomycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-01",70,20819.899,336.217,262.097496764732,424.789711189468,"j01xx01_fosfomycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-01-01",87,18621.78,467.195,374.203935047131,576.283140400777,"j01xx01_fosfomycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-01-01",91,17401.15,522.954,421.04989323597,642.071558009371,"j01xx01_fosfomycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-01-01",43,7476.994,575.097,416.200858419402,774.652458065148,"j01xx01_fosfomycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-01-01",342,39079.655,875.136,784.833332062847,972.978690638468,"j01aa04_lymecycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-01-01",321,37506.1,855.861,764.784637656134,954.798447192214,"j01aa04_lymecycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-01",354,35224.654,1004.978,903.002745058838,1115.31653459785,"j01aa04_lymecycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-01",289,31668.619,912.575,810.384682877737,1024.08573868196,"j01aa04_lymecycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01",261,27462.196,950.397,838.58312145131,1072.96978561948,"j01aa04_lymecycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-01",247,25091.6,984.393,865.447232136726,1115.12024298085,"j01aa04_lymecycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-01-01",232,23820.2,973.963,852.658067668152,1107.68656902898,"j01aa04_lymecycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-01",263,22874.053,1149.774,1015.00252171972,1297.46120865926,"j01aa04_lymecycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-01",168,21195.441,792.623,677.29641145176,921.95802300277,"j01aa04_lymecycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-01-01",144,18964.761,759.303,640.353027374642,893.939622795885,"j01aa04_lymecycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-01-01",124,17702.324,700.473,582.617200493379,835.168953462795,"j01aa04_lymecycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-01-01",61,7598.812,802.757,614.045545027072,1031.17502992357,"j01aa04_lymecycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-01-01",7,38634.869,18.118,7.28451557974706,37.330721534742,"j04ab02_rifampicin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-01-01",5,37068.345,13.489,4.37971101790064,31.4778878833751,"j04ab02_rifampicin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-01",10,34791.283,28.743,13.7833051346006,52.8590912902458,"j04ab02_rifampicin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-01",11,31216.745,35.237,17.5904322094979,63.0496181241893,"j04ab02_rifampicin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01",11,27002.782,40.737,20.3355356764234,72.8889286789115,"j04ab02_rifampicin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-01",19,24652.449,77.071,46.4020477818116,120.356616787182,"j04ab02_rifampicin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-01-01",9,23400.835,38.46,17.5864369685028,73.0093753125441,"j04ab02_rifampicin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-01",11,22482.133,48.928,24.4245524534386,87.5452454324594,"j04ab02_rifampicin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-01",6,20821.585,28.816,10.5750559022805,62.7208448469158,"j04ab02_rifampicin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-01-01",2,18625.859,10.738,1.30039252709883,38.788480400952,"j04ab02_rifampicin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-01-01",5,17405.418,28.727,9.32747716899658,67.0385053626559,"j04ab02_rifampicin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-01-01",1,7478.801,13.371,0.338527632762122,74.4991528847859,"j04ab02_rifampicin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-01-01",285,38761.511,735.265,652.371607405634,825.774701967286,"j01aa06_oxytetracycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-01-01",240,37189.585,645.342,566.27232622623,732.362637090189,"j01aa06_oxytetracycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-01",189,34925.478,541.152,466.748764569457,624.044632165375,"j01aa06_oxytetracycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-01",156,31363.066,497.4,422.409350292156,581.866868618985,"j01aa06_oxytetracycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01",122,27141.47,449.497,373.279805262891,536.699632892644,"j01aa06_oxytetracycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-01",85,24795.431,342.805,273.82053171326,423.883804717486,"j01aa06_oxytetracycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-01-01",57,23542.546,242.115,183.375423214315,313.687871324379,"j01aa06_oxytetracycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-01",41,22611.094,181.327,130.123327373966,245.9904397626,"j01aa06_oxytetracycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-01",36,20945.311,171.876,120.379961974855,237.949078384351,"j01aa06_oxytetracycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-01-01",24,18725.741,128.166,82.1182609258905,190.70058479263,"j01aa06_oxytetracycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-01-01",23,17488.066,131.518,83.3712946705752,197.34196391318,"j01aa06_oxytetracycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-01-01",10,7515.647,133.056,63.8054008674494,244.694249770083,"j01aa06_oxytetracycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-01-01",41,38650.946,106.078,76.1231248219779,143.906256694817,"j01aa08_minocycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-01-01",27,37090.086,72.796,47.9728467919022,105.913969693039,"j01aa08_minocycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-01",17,34815.146,48.829,28.4448799083229,78.1804758650348,"j01aa08_minocycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-01",8,31244.624,25.604,11.0541646356458,50.4508846712104,"j01aa08_minocycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01",12,27036.159,44.385,22.9343787655718,77.5316680456605,"j01aa08_minocycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-01",11,24679.713,44.571,22.2496929653795,79.7498678906921,"j01aa08_minocycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-01-01",6,23420.726,25.618,9.40147736449695,55.7603296435759,"j01aa08_minocycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-01",5,22499.491,22.223,7.21565830141855,51.86042688398,"j01aa08_minocycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-01",6,20837.32,28.794,10.5670703021831,62.673482110553,"j01aa08_minocycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-01-01",3,18641.662,16.093,3.31876054235723,47.0305333813172,"j01aa08_minocycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-01-01",2,17421.897,11.48,1.39025778044701,41.4690068924409,"j01aa08_minocycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-01-01",0,7486.905,0,0,49.2710867055737,"j01aa08_minocycline_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-01-01",1281,38910.275,3292.19,3114.35145186867,3477.53610671965,"j01fa01_erythromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-01-01",982,37371.31,2627.684,2465.88469948817,2797.31167901639,"j01fa01_erythromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-01",858,35103.222,2444.22,2283.38694726232,2613.39317415565,"j01fa01_erythromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-01",591,31554.251,1872.965,1724.98602771758,2030.24294439808,"j01fa01_erythromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01",455,27353.29,1663.42,1514.06869403354,1823.51860357007,"j01fa01_erythromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-01",346,24991.869,1384.45,1242.39910886971,1538.29157039147,"j01fa01_erythromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-01-01",282,23719.871,1188.877,1054.15308464789,1336.04603005715,"j01fa01_erythromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-01",238,22795.554,1044.063,915.622195162445,1185.47705187049,"j01fa01_erythromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-01",137,21122.965,648.583,544.528357802981,766.731397263942,"j01fa01_erythromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-01-01",115,18896.674,608.573,502.43918194836,730.499365226603,"j01fa01_erythromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-01-01",112,17658.22,634.266,522.252262869974,763.186228805255,"j01fa01_erythromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-01-01",39,7586.379,514.079,365.560598665536,702.763253270537,"j01fa01_erythromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-01-01",1496,38765.659,3859.086,3665.98631468586,4059.71634634739,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2013-01-01",1398,37194.678,3758.602,3564.13615537512,3960.92002409364,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2014-01-01",1441,34939.384,4124.286,3914.06560250956,4342.86309519312,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2015-01-01",1165,31442.278,3705.202,3495.46700211048,3924.23362020829,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016-01-01",1014,27259.14,3719.853,3494.38989321976,3956.04670063806,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2017-01-01",829,24930.954,3325.184,3102.65324373512,3559.45912924122,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018-01-01",690,23688.463,2912.81,2699.49788094767,3138.49763203694,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-01-01",691,22754.535,3036.757,2814.52580047449,3271.87139610496,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-01-01",455,21133.752,2152.954,1959.65014010862,2360.16932458785,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-01-01",437,18913.966,2310.462,2098.88853569962,2537.58408883612,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2022-01-01",533,17678.73,3014.922,2764.3681896326,3282.08698687485,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2023-01-01",242,7573.856,3195.202,2805.28216996057,3624.16006921828,"j01fa09_clarithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2012-01-01",173,38498.114,449.373,384.903312459338,521.551367444487,"j01fa10_azithromycin_systemic_oral","GOLD_100k","Both","0 to 150","Crude",NA,NA,NA,NA,NA,NA,NA,NA,NA
